CBSA Title, Population , Clinton , Trump , Vote Difference C-T , Obama 2012 , Romney 2012 , Vote Difference O-R ,Clinton B(W) Obama,Trump B(W) Romney, Land Area Sq Mi , Density/Sq Mi 
"Sunbury, PA Total"," 93,246 "," 9,788 "," 25,427 "," (15,639)"," 12,392 "," 18,516 "," (6,124)"," (2,604)"," 6,911 ", 458 , 203 
"New Philadelphia-Dover, OH Total"," 92,916 "," 12,188 "," 26,918 "," (14,730)"," 17,516 "," 21,420 "," (3,904)"," (5,328)"," 5,498 ", 568 , 164 
"Parkersburg-Vienna, WV Total"," 92,332 "," 8,786 "," 27,345 "," (18,559)"," 11,740 "," 23,402 "," (11,662)"," (2,954)"," 3,943 ", 599 , 154 
"Brainerd, MN Total"," 92,134 "," 15,931 "," 32,269 "," (16,338)"," 21,618 "," 28,372 "," (6,754)"," (5,687)"," 3,897 "," 3,021 ", 31 
"Talladega-Sylacauga, AL Total"," 91,586 "," 13,903 "," 23,995 "," (10,092)"," 16,066 "," 22,245 "," (6,179)"," (2,163)"," 1,750 "," 1,388 ", 66 
"Orangeburg, SC Total"," 89,208 "," 26,318 "," 11,931 "," 14,387 "," 30,454 "," 11,888 "," 18,566 "," (4,136)", 43 ," 1,106 ", 81 
"Beaver Dam, WI Total"," 88,502 "," 13,968 "," 26,635 "," (12,667)"," 18,745 "," 25,190 "," (6,445)"," (4,777)"," 1,445 ", 876 , 101 
"Lufkin, TX Total"," 88,255 "," 7,538 "," 21,668 "," (14,130)"," 7,833 "," 20,301 "," (12,468)", (295)," 1,367 ", 798 , 111 
"New Castle, PA Total"," 88,082 "," 14,009 "," 25,428 "," (11,419)"," 17,427 "," 20,915 "," (3,488)"," (3,418)"," 4,513 ", 358 , 246 
"Hermiston-Pendleton, OR Total"," 87,721 "," 8,690 "," 19,780 "," (11,090)"," 9,688 "," 17,949 "," (8,261)", (998)," 1,831 "," 5,247 ", 17 
"Ukiah, CA Total"," 87,649 "," 22,079 "," 10,888 "," 11,191 "," 11,869 "," 5,129 "," 6,740 "," 10,210 "," 5,759 "," 3,506 ", 25 
"Corvallis, OR Total"," 87,572 "," 29,193 "," 13,445 "," 15,748 "," 27,662 "," 14,922 "," 12,740 "," 1,531 "," (1,477)", 676 , 130 
"Elmira, NY Total"," 87,071 "," 13,757 "," 20,097 "," (6,340)"," 15,285 "," 16,207 ", (922)," (1,528)"," 3,890 ", 407 , 214 
"Indiana, PA Total"," 86,966 "," 11,528 "," 24,888 "," (13,360)"," 14,403 "," 21,187 "," (6,784)"," (2,875)"," 3,701 ", 827 , 105 
"Meadville, PA Total"," 86,484 "," 10,971 "," 24,987 "," (14,016)"," 13,024 "," 19,497 "," (6,473)"," (2,053)"," 5,490 "," 1,012 ", 85 
"Zanesville, OH Total"," 86,290 "," 11,123 "," 24,056 "," (12,933)"," 16,327 "," 18,826 "," (2,499)"," (5,204)"," 5,230 ", 665 , 130 
"Branson, MO Total"," 85,535 "," 7,260 "," 31,434 "," (24,174)"," 9,382 "," 27,493 "," (18,111)"," (2,122)"," 3,941 "," 1,096 ", 78 
"Bloomsburg-Berwick, PA Total"," 85,229 "," 11,791 "," 23,292 "," (11,501)"," 13,450 "," 18,081 "," (4,631)"," (1,659)"," 5,211 ", 613 , 139 
"Russellville, AR Total"," 85,103 "," 6,480 "," 20,864 "," (14,384)"," 6,828 "," 18,774 "," (11,946)", (348)," 2,090 "," 1,743 ", 49 
"Huntsville, TX Total"," 85,101 "," 7,245 "," 17,621 "," (10,376)"," 6,897 "," 14,106 "," (7,209)", 348 ," 3,515 "," 1,478 ", 58 
"Grand Island, NE Total"," 85,066 "," 8,306 "," 23,401 "," (15,095)"," 9,942 "," 20,361 "," (10,419)"," (1,636)"," 3,040 "," 2,143 ", 40 
"Laurel, MS Total"," 84,784 "," 12,159 "," 24,171 "," (12,012)"," 14,243 "," 24,828 "," (10,585)"," (2,084)", (657)," 1,371 ", 62 
"Grants Pass, OR Total"," 84,745 "," 13,453 "," 26,923 "," (13,470)"," 14,929 "," 23,636 "," (8,707)"," (1,476)"," 3,287 "," 1,640 ", 52 
"Watertown-Fort Atkinson, WI Total"," 84,559 "," 16,569 "," 23,417 "," (6,848)"," 20,136 "," 23,489 "," (3,353)"," (3,567)", (72), 556 , 152 
"Opelousas, LA Total"," 83,848 "," 17,209 "," 21,971 "," (4,762)"," 19,668 "," 21,475 "," (1,807)"," (2,459)", 496 , 924 , 91 
"Pocatello, ID Total"," 83,744 "," 10,342 "," 17,180 "," (6,838)"," 13,214 "," 21,010 "," (7,796)"," (2,872)"," (3,830)"," 1,112 ", 75 
"Midland, MI Total"," 83,632 "," 15,635 "," 23,846 "," (8,211)"," 17,480 "," 23,942 "," (6,462)"," (1,845)", (96), 516 , 162 
"Kokomo, IN Total"," 82,556 "," 11,215 "," 23,675 "," (12,460)"," 15,097 "," 20,284 "," (5,187)"," (3,882)"," 3,391 ", 293 , 282 
"Great Falls, MT Total"," 82,278 "," 12,175 "," 19,632 "," (7,457)"," 14,949 "," 18,039 "," (3,090)"," (2,774)"," 1,593 "," 2,698 ", 30 
"Casper, WY Total"," 82,178 "," 6,577 "," 23,552 "," (16,975)"," 8,960 "," 22,129 "," (13,169)"," (2,383)"," 1,423 "," 5,340 ", 15 
"Cullman, AL Total"," 82,005 "," 3,798 "," 32,989 "," (29,191)"," 4,855 "," 27,930 "," (23,075)"," (1,057)"," 5,059 ", 735 , 112 
"Wilson, NC Total"," 81,714 "," 19,663 "," 17,531 "," 2,132 "," 20,745 "," 17,904 "," 2,841 "," (1,082)", (373), 368 , 222 
"Plattsburgh, NY Total"," 81,251 "," 15,059 "," 14,449 ", 610 ," 17,123 "," 10,054 "," 7,069 "," (2,064)"," 4,395 "," 1,038 ", 78 
"Columbus, IN Total"," 81,162 "," 9,841 "," 20,640 "," (10,799)"," 10,622 "," 18,083 "," (7,461)", (781)," 2,557 ", 407 , 199 
"DuBois, PA Total"," 80,994 "," 8,200 "," 24,932 "," (16,732)"," 11,093 "," 20,303 "," (9,210)"," (2,893)"," 4,629 "," 1,145 ", 71 
"Stillwater, OK Total"," 80,850 "," 8,788 "," 16,651 "," (7,863)"," 9,193 "," 16,467 "," (7,274)", (405), 184 , 685 , 118 
"Oak Harbor, WA Total"," 80,593 "," 20,960 "," 18,465 "," 2,495 "," 21,080 "," 19,251 "," 1,829 ", (120), (786), 208 , 387 
"Hinesville, GA Total"," 80,198 "," 10,916 "," 8,760 "," 2,156 "," 11,861 "," 7,858 "," 4,003 ", (945), 902 , 890 , 90 
"Minot, ND Total"," 79,814 "," 6,497 "," 21,679 "," (15,182)"," 9,734 "," 18,677 "," (8,943)"," (3,237)"," 3,002 "," 4,764 ", 17 
"Manitowoc, WI Total"," 79,806 "," 14,538 "," 23,244 "," (8,706)"," 20,382 "," 21,581 "," (1,199)"," (5,844)"," 1,663 ", 589 , 135 
"Athens, TX Total"," 79,545 "," 5,669 "," 23,650 "," (17,981)"," 6,094 "," 21,202 "," (15,108)", (425)," 2,448 ", 874 , 91 
"Danville, IL Total"," 79,282 "," 10,039 "," 19,087 "," (9,048)"," 10,773 "," 14,888 "," (4,115)", (734)," 4,199 ", 898 , 88 
"Searcy, AR Total"," 79,161 "," 5,170 "," 21,077 "," (15,907)"," 5,765 "," 20,005 "," (14,240)", (595)," 1,072 "," 1,035 ", 76 
"Warsaw, IN Total"," 78,620 "," 6,313 "," 23,935 "," (17,622)"," 6,862 "," 22,553 "," (15,691)", (549)," 1,382 ", 531 , 148 
"Auburn, NY Total"," 78,288 "," 13,522 "," 17,384 "," (3,862)"," 14,162 "," 11,355 "," 2,807 ", (640)," 6,029 ", 692 , 113 
"Helena, MT Total"," 78,063 "," 16,476 "," 21,072 "," (4,596)"," 17,735 "," 20,715 "," (2,980)"," (1,259)", 357 ," 5,115 ", 15 
"Olean, NY Total"," 77,922 "," 9,497 "," 19,692 "," (10,195)"," 11,695 "," 15,406 "," (3,711)"," (2,198)"," 4,286 "," 1,308 ", 60 
"Key West, FL Total"," 77,482 "," 18,971 "," 21,904 "," (2,933)"," 19,392 "," 19,234 ", 158 , (421)," 2,670 ", 983 , 79 
"Quincy, IL-MO Total"," 77,220 "," 8,610 "," 26,134 "," (17,524)"," 11,134 "," 23,048 "," (11,914)"," (2,524)"," 3,086 "," 1,360 ", 57 
"Chillicothe, OH Total"," 77,170 "," 10,356 "," 18,652 "," (8,296)"," 13,895 "," 14,582 ", (687)," (3,539)"," 4,070 ", 689 , 112 
"Portsmouth, OH Total"," 76,825 "," 9,132 "," 20,550 "," (11,418)"," 14,432 "," 15,023 ", (591)," (5,300)"," 5,527 ", 610 , 126 
"Gallup, NM Total"," 76,708 "," 13,576 "," 5,104 "," 8,472 "," 15,363 "," 5,420 "," 9,943 "," (1,787)", (316)," 5,450 ", 14 
"Keene, NH Total"," 75,909 "," 22,064 "," 16,876 "," 5,188 "," 25,329 "," 15,135 "," 10,194 "," (3,265)"," 1,741 ", 707 , 107 
"Centralia, WA Total"," 75,882 "," 9,654 "," 21,992 "," (12,338)"," 9,772 "," 15,954 "," (6,182)", (118)," 6,038 "," 2,403 ", 32 
"Glenwood Springs, CO Total"," 75,882 "," 18,604 "," 15,682 "," 2,922 "," 17,637 "," 15,100 "," 2,537 ", 967 , 582 ," 3,918 ", 19 
"Seneca, SC Total"," 75,713 "," 7,998 "," 24,178 "," (16,180)"," 8,537 "," 21,573 "," (13,036)", (539)," 2,605 ", 626 , 121 
"Findlay, OH Total"," 75,573 "," 9,609 "," 24,183 "," (14,574)"," 12,192 "," 22,077 "," (9,885)"," (2,583)"," 2,106 ", 531 , 142 
"Sandusky, OH Total"," 75,550 "," 16,057 "," 19,648 "," (3,591)"," 20,969 "," 16,655 "," 4,314 "," (4,912)"," 2,993 ", 252 , 300 
"Somerset, PA Total"," 75,522 "," 7,376 "," 27,379 "," (20,003)"," 9,420 "," 23,935 "," (14,515)"," (2,044)"," 3,444 "," 1,074 ", 70 
"Port Angeles, WA Total"," 73,486 "," 17,677 "," 18,794 "," (1,117)"," 17,231 "," 17,087 ", 144 , 446 ," 1,707 "," 1,738 ", 42 
"Wisconsin Rapids-Marshfield, WI Total"," 73,435 "," 14,225 "," 21,498 "," (7,273)"," 18,546 "," 19,685 "," (1,139)"," (4,321)"," 1,813 ", 793 , 93 
"Roanoke Rapids, NC Total"," 72,882 "," 21,892 "," 12,613 "," 9,279 "," 24,141 "," 12,160 "," 11,981 "," (2,249)", 453 ," 1,261 ", 58 
"Mount Airy, NC Total"," 72,743 "," 7,488 "," 23,671 "," (16,183)"," 9,005 "," 19,753 "," (10,748)"," (1,517)"," 3,918 ", 532 , 137 
"Statesboro, GA Total"," 72,651 "," 9,261 "," 15,097 "," (5,836)"," 9,572 "," 14,159 "," (4,587)", (311), 938 , 673 , 108 
"Frankfort, KY Total"," 72,354 "," 13,351 "," 20,061 "," (6,710)"," 14,850 "," 18,167 "," (3,317)"," (1,499)"," 1,894 ", 410 , 177 
"Palatka, FL Total"," 72,023 "," 10,094 "," 22,138 "," (12,044)"," 11,666 "," 19,326 "," (7,660)"," (1,572)"," 2,812 ", 728 , 99 
"Shawnee, OK Total"," 71,875 "," 6,015 "," 17,848 "," (11,833)"," 7,182 "," 16,240 "," (9,058)"," (1,167)"," 1,608 ", 788 , 91 
"Kapaa, HI Total"," 71,735 "," 16,456 "," 7,574 "," 8,882 "," 18,638 "," 6,121 "," 12,517 "," (2,182)"," 1,453 ", 620 , 116 
"Hobbs, NM Total"," 71,180 "," 3,930 "," 12,495 "," (8,565)"," 4,068 "," 12,480 "," (8,412)", (138), 15 ," 4,391 ", 16 
"Fort Payne, AL Total"," 71,130 "," 3,622 "," 21,405 "," (17,783)"," 5,235 "," 18,316 "," (13,081)"," (1,613)"," 3,089 ", 777 , 92 
"Aberdeen, WA Total"," 71,122 "," 12,020 "," 14,067 "," (2,047)"," 15,692 "," 11,743 "," 3,949 "," (3,672)"," 2,324 "," 1,902 ", 37 
"Mount Pleasant, MI Total"," 70,698 "," 11,404 "," 12,338 ", (934)," 13,038 "," 10,800 "," 2,238 "," (1,634)"," 1,538 ", 573 , 123 
"Greenfield Town, MA Total"," 70,601 "," 24,478 "," 10,364 "," 14,114 "," 27,024 "," 9,338 "," 17,686 "," (2,546)"," 1,026 ", 699 , 101 
"Stevens Point, WI Total"," 70,408 "," 18,529 "," 17,305 "," 1,224 "," 22,052 "," 16,599 "," 5,453 "," (3,523)", 706 , 801 , 88 
"LaGrange, GA Total"," 69,763 "," 9,713 "," 15,750 "," (6,037)"," 10,545 "," 15,170 "," (4,625)", (832), 580 , 414 , 169 
"Muskogee, OK Total"," 69,699 "," 7,977 "," 15,043 "," (7,066)"," 9,943 "," 13,392 "," (3,449)"," (1,966)"," 1,651 ", 810 , 86 
"Morehead City, NC Total"," 68,879 "," 9,939 "," 26,569 "," (16,630)"," 10,197 "," 24,598 "," (14,401)", (258)," 1,971 ", 506 , 136 
"Owosso, MI Total"," 68,619 "," 12,546 "," 19,230 "," (6,684)"," 17,197 "," 15,962 "," 1,235 "," (4,651)"," 3,268 ", 531 , 129 
"Greeneville, TN Total"," 68,580 "," 4,216 "," 18,562 "," (14,346)"," 6,216 "," 17,234 "," (11,018)"," (2,000)"," 1,328 ", 622 , 110 
"North Wilkesboro, NC Total"," 68,502 "," 6,638 "," 23,752 "," (17,114)"," 8,089 "," 20,410 "," (12,321)"," (1,451)"," 3,342 ", 754 , 91 
"Lake City, FL Total"," 68,348 "," 7,601 "," 20,368 "," (12,767)"," 8,462 "," 18,429 "," (9,967)", (861)," 1,939 ", 798 , 86 
"Marion, IN Total"," 67,979 "," 7,010 "," 17,008 "," (9,998)"," 9,589 "," 15,148 "," (5,559)"," (2,579)"," 1,860 ", 414 , 164 
"Marquette, MI Total"," 67,215 "," 16,042 "," 14,646 "," 1,396 "," 18,126 "," 13,609 "," 4,517 "," (2,084)"," 1,037 "," 1,808 ", 37 
"Richmond, IN Total"," 67,001 "," 8,322 "," 16,028 "," (7,706)"," 10,591 "," 14,321 "," (3,730)"," (2,269)"," 1,707 ", 402 , 167 
"Marshall, TX Total"," 66,746 "," 7,151 "," 18,749 "," (11,598)"," 8,431 "," 17,471 "," (9,040)"," (1,280)"," 1,278 ", 900 , 74 
"Farmington, MO Total"," 66,520 "," 6,250 "," 17,468 "," (11,218)"," 8,837 "," 13,248 "," (4,411)"," (2,587)"," 4,220 ", 452 , 147 
"Forest City, NC Total"," 66,390 "," 7,512 "," 21,871 "," (14,359)"," 9,277 "," 18,797 "," (9,520)"," (1,765)"," 3,074 ", 564 , 118 
"Klamath Falls, OR Total"," 66,016 "," 7,210 "," 20,435 "," (13,225)"," 8,140 "," 18,654 "," (10,514)", (930)," 1,781 "," 5,941 ", 11 
"Athens, OH Total"," 65,886 "," 16,370 "," 11,354 "," 5,016 "," 17,268 "," 8,118 "," 9,150 ", (898)," 3,236 ", 504 , 131 
"Roswell, NM Total"," 65,764 "," 5,534 "," 12,872 "," (7,338)"," 6,621 "," 13,271 "," (6,650)"," (1,087)", (399)," 6,065 ", 11 
"Nacogdoches, TX Total"," 65,664 "," 6,846 "," 14,771 "," (7,925)"," 6,441 "," 13,910 "," (7,469)", 405 , 861 , 947 , 69 
"Martinsville, VA Total"," 65,526 "," 11,731 "," 17,357 "," (5,626)"," 14,167 "," 16,292 "," (2,125)"," (2,436)"," 1,065 ", 393 , 167 
"Faribault-Northfield, MN Total"," 65,400 "," 14,437 "," 15,429 ", (992)," 17,054 "," 14,380 "," 2,674 "," (2,617)"," 1,049 ", 496 , 132 
"Marion, OH Total"," 65,355 "," 7,928 "," 16,961 "," (9,033)"," 11,933 "," 13,938 "," (2,005)"," (4,005)"," 3,023 ", 404 , 162 
"Clearlake, CA Total"," 64,591 "," 11,496 "," 10,599 ", 897 ," 9,159 "," 6,474 "," 2,685 "," 2,337 "," 4,125 "," 1,256 ", 51 
"Marinette, WI-MI Total"," 64,432 "," 9,948 "," 19,824 "," (9,876)"," 15,112 "," 16,174 "," (1,062)"," (5,164)"," 3,650 "," 2,443 ", 26 
"Alamogordo, NM Total"," 64,362 "," 6,124 "," 11,886 "," (5,762)"," 6,715 "," 12,219 "," (5,504)", (591), (333)," 6,613 ", 10 
"Walla Walla, WA Total"," 64,282 "," 10,220 "," 15,148 "," (4,928)"," 6,347 "," 10,643 "," (4,296)"," 3,873 "," 4,505 "," 2,139 ", 30 
"Ionia, MI Total"," 64,223 "," 8,352 "," 16,635 "," (8,283)"," 11,016 "," 14,319 "," (3,303)"," (2,664)"," 2,316 ", 571 , 112 
"Rio Grande City, TX Total"," 63,795 "," 9,289 "," 2,224 "," 7,065 "," 10,248 "," 1,540 "," 8,708 ", (959), 684 ," 1,223 ", 52 
"Somerset, KY Total"," 63,782 "," 4,208 "," 22,902 "," (18,694)"," 4,976 "," 20,714 "," (15,738)", (768)," 2,188 ", 658 , 97 
"Hutchinson, KS Total"," 63,718 "," 6,670 "," 15,100 "," (8,430)"," 7,888 "," 15,398 "," (7,510)"," (1,218)", (298)," 1,255 ", 51 
"Baraboo, WI Total"," 63,642 "," 14,690 "," 14,799 ", (109)," 18,718 "," 12,829 "," 5,889 "," (4,028)"," 1,970 ", 831 , 77 
"Elizabeth City, NC Total"," 63,578 "," 12,208 "," 15,903 "," (3,695)"," 14,173 "," 14,025 ", 148 ," (1,965)"," 1,878 ", 715 , 89 
"Enid, OK Total"," 63,569 "," 4,397 "," 16,009 "," (11,612)"," 4,732 "," 15,176 "," (10,444)", (335), 833 ," 1,058 ", 60 
"Charleston-Mattoon, IL Total"," 63,419 "," 8,340 "," 17,209 "," (8,869)"," 10,892 "," 15,129 "," (4,237)"," (2,552)"," 2,080 ", 854 , 74 
"Jefferson, GA Total"," 63,360 "," 4,491 "," 21,784 "," (17,293)"," 4,236 "," 19,122 "," (14,886)", 255 ," 2,662 ", 340 , 187 
"Red Bluff, CA Total"," 63,308 "," 6,809 "," 15,494 "," (8,685)"," 6,032 "," 10,791 "," (4,759)", 777 ," 4,703 "," 2,950 ", 21 
"Coos Bay, OR Total"," 63,121 "," 10,448 "," 17,865 "," (7,417)"," 12,628 "," 14,398 "," (1,770)"," (2,180)"," 3,467 "," 1,596 ", 40 
"Lewiston, ID-WA Total"," 62,153 "," 7,962 "," 16,440 "," (8,478)"," 10,444 "," 15,614 "," (5,170)"," (2,482)", 826 ," 1,484 ", 42 
"Salina, KS Total"," 61,666 "," 6,508 "," 15,628 "," (9,120)"," 7,458 "," 15,957 "," (8,499)", (950), (329)," 1,441 ", 43 
"Hudson, NY Total"," 61,509 "," 15,284 "," 13,756 "," 1,528 "," 14,244 "," 11,194 "," 3,050 "," 1,040 "," 2,562 ", 635 , 97 
"Georgetown, SC Total"," 61,298 "," 13,310 "," 17,389 "," (4,079)"," 14,119 "," 16,476 "," (2,357)", (809), 913 , 814 , 75 
"Sayre, PA Total"," 61,281 "," 6,369 "," 18,141 "," (11,772)"," 8,291 "," 13,827 "," (5,536)"," (1,922)"," 4,314 "," 1,147 ", 53 
"Marietta, OH Total"," 61,112 "," 8,026 "," 20,514 "," (12,488)"," 11,333 "," 16,921 "," (5,588)"," (3,307)"," 3,593 ", 632 , 97 
"Mount Vernon, OH Total"," 61,061 "," 8,171 "," 19,131 "," (10,960)"," 10,154 "," 16,873 "," (6,719)"," (1,983)"," 2,258 ", 525 , 116 
"Shelton, WA Total"," 61,023 "," 11,993 "," 13,677 "," (1,684)"," 14,568 "," 12,637 "," 1,931 "," (2,575)"," 1,040 ", 959 , 64 
"Sturgis, MI Total"," 61,018 "," 7,526 "," 14,884 "," (7,358)"," 10,106 "," 12,975 "," (2,869)"," (2,580)"," 1,909 ", 501 , 122 
"Albemarle, NC Total"," 60,714 "," 7,094 "," 21,964 "," (14,870)"," 8,287 "," 19,698 "," (11,411)"," (1,193)"," 2,266 ", 395 , 154 
"Laconia, NH Total"," 60,641 "," 13,517 "," 19,315 "," (5,798)"," 15,884 "," 17,568 "," (1,684)"," (2,367)"," 1,747 ", 400 , 152 
"Oneonta, NY Total"," 60,636 "," 10,451 "," 13,308 "," (2,857)"," 10,975 "," 10,527 ", 448 , (524)," 2,781 "," 1,002 ", 61 
"Fort Madison-Keokuk, IA-IL-MO Total"," 60,433 "," 9,078 "," 17,691 "," (8,613)"," 14,072 "," 13,327 ", 745 ," (4,994)"," 4,364 "," 1,816 ", 33 
"Rutland, VT Total"," 59,736 "," 13,635 "," 12,479 "," 1,156 "," 17,087 "," 10,834 "," 6,253 "," (3,452)"," 1,645 ", 930 , 64 
"Columbus, MS Total"," 59,710 "," 11,819 "," 13,271 "," (1,452)"," 12,037 "," 12,399 ", (362), (218), 872 , 506 , 118 
"Fremont, OH Total"," 59,679 "," 9,929 "," 16,316 "," (6,387)"," 14,035 "," 13,491 ", 544 ," (4,106)"," 2,825 ", 408 , 146 
"Sanford, NC Total"," 59,660 "," 10,469 "," 13,712 "," (3,243)"," 10,577 "," 13,000 "," (2,423)", (108), 712 , 255 , 234 
"Batavia, NY Total"," 58,937 "," 7,650 "," 16,915 "," (9,265)"," 8,886 "," 13,701 "," (4,815)"," (1,236)"," 3,214 ", 493 , 120 
"Big Stone Gap, VA Total"," 58,772 "," 4,419 "," 18,039 "," (13,620)"," 6,789 "," 16,210 "," (9,421)"," (2,370)"," 1,829 ", 741 , 79 
"Oxford, NC Total"," 58,674 "," 12,909 "," 13,591 ", (682)," 13,529 "," 12,332 "," 1,197 ", (620)," 1,259 ", 532 , 110 
"Barre, VT Total"," 58,612 "," 18,594 "," 7,993 "," 10,601 "," 20,349 "," 8,092 "," 12,257 "," (1,755)", (99), 687 , 85 
"Norwalk, OH Total"," 58,469 "," 7,192 "," 16,226 "," (9,034)"," 10,673 "," 12,821 "," (2,148)"," (3,481)"," 3,405 ", 492 , 119 
"Crossville, TN Total"," 58,229 "," 5,202 "," 20,413 "," (15,211)"," 6,260 "," 18,651 "," (12,391)"," (1,058)"," 1,762 ", 681 , 86 
"Kinston, NC Total"," 58,106 "," 12,634 "," 13,613 ", (979)," 13,350 "," 13,763 ", (413), (716), (150), 401 , 145 
"Fergus Falls, MN Total"," 57,716 "," 9,340 "," 20,939 "," (11,599)"," 12,165 "," 18,860 "," (6,695)"," (2,825)"," 2,079 "," 1,972 ", 29 
"Eagle Pass, TX Total"," 57,706 "," 10,397 "," 2,816 "," 7,581 "," 8,302 "," 2,171 "," 6,131 "," 2,095 ", 645 ," 1,279 ", 45 
"Palestine, TX Total"," 57,580 "," 3,369 "," 13,201 "," (9,832)"," 3,796 "," 12,235 "," (8,439)", (427), 966 ," 1,063 ", 54 
"Carlsbad-Artesia, NM Total"," 57,578 "," 5,033 "," 13,147 "," (8,114)"," 6,110 "," 12,546 "," (6,436)"," (1,077)", 601 ," 4,176 ", 14 
"Dublin, GA Total"," 57,387 "," 7,888 "," 14,930 "," (7,042)"," 8,813 "," 14,387 "," (5,574)", (925), 543 ," 1,110 ", 52 
"Point Pleasant, WV-OH Total"," 57,179 "," 4,709 "," 17,476 "," (12,767)"," 7,156 "," 11,618 "," (4,462)"," (2,447)"," 5,858 ", 897 , 64 
"Sterling, IL Total"," 57,079 "," 11,035 "," 12,615 "," (1,580)"," 12,393 "," 8,676 "," 3,717 "," (1,358)"," 3,939 ", 684 , 83 
"Fairmont, WV Total"," 56,925 "," 6,964 "," 14,668 "," (7,704)"," 8,905 "," 11,981 "," (3,076)"," (1,941)"," 2,687 ", 309 , 184 
"Vicksburg, MS Total"," 56,635 "," 12,992 "," 10,307 "," 2,685 "," 14,532 "," 9,998 "," 4,534 "," (1,540)", 309 ," 1,076 ", 53 
"Calhoun, GA Total"," 56,574 "," 3,181 "," 15,191 "," (12,010)"," 3,436 "," 13,174 "," (9,738)", (255)," 2,017 ", 356 , 159 
"Gaffney, SC Total"," 56,194 "," 6,092 "," 15,167 "," (9,075)"," 7,219 "," 13,306 "," (6,087)"," (1,127)"," 1,861 ", 393 , 143 
"Tiffin, OH Total"," 55,610 "," 7,404 "," 14,825 "," (7,421)"," 10,962 "," 13,025 "," (2,063)"," (3,558)"," 1,800 ", 551 , 101 
"Kearney, NE Total"," 55,448 "," 5,313 "," 17,100 "," (11,787)"," 6,027 "," 15,719 "," (9,692)", (714)," 1,381 "," 1,484 ", 37 
"Picayune, MS Total"," 55,191 "," 3,604 "," 17,782 "," (14,178)"," 3,813 "," 15,836 "," (12,023)", (209)," 1,946 ", 811 , 68 
"Jasper, IN Total"," 55,055 "," 6,686 "," 17,763 "," (11,077)"," 8,647 "," 15,281 "," (6,634)"," (1,961)"," 2,482 ", 762 , 72 
"Durango, CO Total"," 54,688 "," 15,525 "," 12,587 "," 2,938 "," 15,063 "," 12,554 "," 2,509 ", 462 , 33 ," 1,692 ", 32 
"Carson City, NV Total"," 54,521 "," 9,610 "," 13,125 "," (3,515)"," 10,290 "," 12,394 "," (2,104)", (680), 731 , 145 , 377 
"Waycross, GA Total"," 54,473 "," 4,343 "," 14,815 "," (10,472)"," 5,016 "," 13,599 "," (8,583)", (673)," 1,216 "," 1,209 ", 45 
"Danville, KY Total"," 54,272 "," 6,146 "," 15,378 "," (9,232)"," 7,053 "," 14,119 "," (7,066)", (907)," 1,259 ", 514 , 106 
"Milledgeville, GA Total"," 54,010 "," 10,671 "," 8,540 "," 2,131 "," 11,770 "," 8,349 "," 3,421 "," (1,099)", 191 , 730 , 74 
"Gloversville, NY Total"," 53,992 "," 6,496 "," 13,462 "," (6,966)"," 7,916 "," 9,811 "," (1,895)"," (1,420)"," 3,651 ", 495 , 109 
"Elko, NV Total"," 53,951 "," 3,475 "," 14,274 "," (10,799)"," 3,617 "," 12,676 "," (9,059)", (142)," 1,598 "," 21,346 ", 3 
"Warrensburg, MO Total"," 53,951 "," 5,930 "," 13,719 "," (7,789)"," 7,661 "," 12,750 "," (5,089)"," (1,731)", 969 , 829 , 65 
"Sonora, CA Total"," 53,709 "," 9,123 "," 14,551 "," (5,428)"," 9,628 "," 13,410 "," (3,782)", (505)," 1,141 "," 2,221 ", 24 
"Edwards, CO Total"," 53,605 "," 14,099 "," 8,990 "," 5,109 "," 12,598 "," 9,317 "," 3,281 "," 1,501 ", (327)," 1,685 ", 32 
"Glasgow, KY Total"," 53,479 "," 5,251 "," 16,974 "," (11,723)"," 6,825 "," 13,598 "," (6,773)"," (1,574)"," 3,376 ", 777 , 69 
"Ontario, OR-ID Total"," 53,276 "," 3,753 "," 13,683 "," (9,930)"," 4,972 "," 12,755 "," (7,783)"," (1,219)", 928 ," 10,294 ", 5 
"Fort Leonard Wood, MO Total"," 53,221 "," 2,922 "," 9,876 "," (6,954)"," 4,199 "," 9,092 "," (4,893)"," (1,277)", 784 , 547 , 97 
"Ashland, OH Total"," 53,213 "," 5,740 "," 17,493 "," (11,753)"," 8,083 "," 15,225 "," (7,142)"," (2,343)"," 2,268 ", 423 , 126 
"Payson, AZ Total"," 53,159 "," 7,003 "," 14,182 "," (7,179)"," 6,650 "," 11,525 "," (4,875)", 353 ," 2,657 "," 4,758 ", 11 
"Oxford, MS Total"," 53,154 "," 7,969 "," 10,872 "," (2,903)"," 7,098 "," 9,772 "," (2,674)", 871 ," 1,100 ", 632 , 84 
"Oil City, PA Total"," 53,119 "," 6,309 "," 16,021 "," (9,712)"," 7,469 "," 12,928 "," (5,459)"," (1,160)"," 3,093 ", 674 , 79 
"Boone, NC Total"," 52,906 "," 14,138 "," 13,697 ", 441 ," 13,371 "," 14,124 ", (753), 767 , (427), 313 , 169 
"Morgan City, LA Total"," 52,810 "," 8,050 "," 14,359 "," (6,309)"," 9,448 "," 13,883 "," (4,435)"," (1,398)", 476 , 555 , 95 
